atomic_number,Element,Value
1,H,12.0
2,He,10.93
3,Li,1.05
4,Be,1.38
5,B,2.7
6,C,8.43
7,N,7.83
8,O,8.69
9,F,4.56
10,Ne,7.93
11,Na,6.24
12,Mg,7.6
13,Al,6.45
14,Si,7.51
15,P,5.41
16,S,7.12
17,Cl,5.5
18,Ar,6.4
19,K,5.03
20,Ca,6.34
21,Sc,3.15
22,Ti,4.95
23,V,3.93
24,Cr,5.64
25,Mn,5.43
26,Fe,7.5
27,Co,4.99
28,Ni,6.22
29,Cu,4.19
30,Zn,4.56
31,Ga,3.04
32,Ge,3.65
33,As,2.30
34,Se,3.34
35,Br,2.54
36,Kr,3.25
37,Rb,2.52
38,Sr,2.87
39,Y,2.21
40,Zr,2.58
41,Nb,1.46
42,Mo,1.88
44,Ru,1.75
45,Rh,0.91
46,Pd,1.57
47,Ag,0.94
48,Cd,1.71
49,In,0.8
50,Sn,2.04
51,Sb,1.01
52,Te,2.18
53,I,1.55
54,Xe,2.24
55,Cs,1.08
56,Ba,2.18
57,La,1.1
58,Ce,1.58
59,Pr,0.72
60,Nd,1.42
62,Sm,0.96
63,Eu,0.52
64,Gd,1.07
65,Tb,0.3
66,Dy,1.1
67,Ho,0.48
68,Er,0.92
69,Tm,0.1
70,Yb,0.84
71,Lu,0.1
72,Hf,0.85
73,Ta,-0.12
74,W,0.85
75,Re,0.26
76,Os,1.4
77,Ir,1.38
78,Pt,1.62
79,Au,0.92
80,Hg,1.17
81,Tl,0.9
82,Pb,1.75
83,Bi,0.65
90,Th,0.02
92,U,-0.54
